epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.9582,1.53082,1.31804,1.07492,0.95285,0.93941,0.97815,0.67698,1.08994,0.6272,0.91814,0.000554883,0.000554883,0.000554883
2,168.027,1.10122,0.67169,0.93433,0.96757,0.96826,0.98906,0.75029,0.89583,0.51937,0.87,0.00110751,0.00110751,0.00110751
3,253.802,0.98649,0.59559,0.90319,0.97874,0.97779,0.9907,0.76933,0.85207,0.46052,0.86222,0.00164801,0.00164801,0.00164801
4,328.701,0.92559,0.54955,0.8886,0.98084,0.98034,0.99094,0.79129,0.7826,0.43332,0.84431,0.00162621,0.00162621,0.00162621
5,596.26,0.86962,0.52333,0.8746,0.98297,0.98107,0.9918,0.83279,0.63566,0.39246,0.82146,0.00159494,0.00159494,0.00159494
6,677.324,0.82479,0.4951,0.86599,0.97188,0.95928,0.99273,0.83418,0.63688,0.42279,0.82042,0.00155534,0.00155534,0.00155534
7,750.342,0.78364,0.47844,0.85825,0.97879,0.96108,0.99374,0.83856,0.64654,0.39758,0.82269,0.00150782,0.00150782,0.00150782
8,824.185,0.76233,0.46172,0.855,0.9906,0.98075,0.99317,0.86036,0.56778,0.35817,0.81219,0.00145292,0.00145292,0.00145292
9,897.664,0.73,0.45026,0.848,0.9903,0.98972,0.99397,0.86403,0.567,0.3406,0.80903,0.00139123,0.00139123,0.00139123
10,970.636,0.70801,0.43755,0.84397,0.97055,0.96998,0.99368,0.87836,0.5097,0.36063,0.80216,0.00132343,0.00132343,0.00132343
11,1044.75,0.6892,0.4244,0.84157,0.99268,0.9918,0.99395,0.87821,0.51992,0.32076,0.80253,0.00125027,0.00125027,0.00125027
12,1130.04,0.67378,0.4168,0.83815,0.99271,0.99065,0.99427,0.88869,0.47193,0.30829,0.79791,0.00117253,0.00117253,0.00117253
13,1210.9,0.65178,0.402,0.8346,0.9914,0.9865,0.99241,0.89352,0.46104,0.31226,0.79619,0.00109109,0.00109109,0.00109109
14,1284.34,0.64226,0.39656,0.83257,0.99287,0.99152,0.99379,0.88923,0.47718,0.30379,0.79692,0.00100682,0.00100682,0.00100682
15,1356.94,0.62371,0.3893,0.83026,0.99101,0.9897,0.99411,0.90428,0.4325,0.29758,0.79232,0.000920652,0.000920652,0.000920652
16,1432.21,0.61113,0.379,0.82743,0.99458,0.9931,0.99404,0.90424,0.43838,0.28484,0.79258,0.000833531,0.000833531,0.000833531
17,1505.61,0.60018,0.36973,0.82561,0.99746,0.99765,0.99431,0.91006,0.42114,0.27687,0.79034,0.00074641,0.00074641,0.00074641
18,1863.47,0.59358,0.37013,0.82577,0.99716,0.99695,0.9944,0.91213,0.41421,0.27,0.78978,0.000660243,0.000660243,0.000660243
19,1940.31,0.57605,0.35672,0.82331,0.99695,0.99693,0.9943,0.91562,0.40545,0.26668,0.78912,0.000575975,0.000575975,0.000575975
20,2012.9,0.56645,0.35652,0.82138,0.99755,0.99657,0.99433,0.9203,0.39079,0.26124,0.78736,0.000494528,0.000494528,0.000494528
21,2076.98,0.44431,0.28433,0.79519,0.99788,0.99782,0.99429,0.91183,0.41916,0.26324,0.78935,0.000416796,0.000416796,0.000416796
22,2138.13,0.41798,0.27173,0.79171,0.99792,0.99793,0.99436,0.91347,0.41655,0.25812,0.78874,0.00034363,0.00034363,0.00034363
23,2199.14,0.40219,0.26244,0.78926,0.9968,0.99552,0.99433,0.9205,0.39291,0.25347,0.78668,0.000275831,0.000275831,0.000275831
24,2260.05,0.38814,0.25895,0.78761,0.99779,0.9973,0.99435,0.9164,0.40679,0.25251,0.78744,0.000214143,0.000214143,0.000214143
25,2321.55,0.37543,0.25162,0.78588,0.99827,0.99824,0.99432,0.9231,0.39163,0.24848,0.78595,0.00015924,0.00015924,0.00015924
26,2381.77,0.36323,0.24794,0.78515,0.9981,0.99832,0.99433,0.92039,0.40038,0.24929,0.78671,0.000111725,0.000111725,0.000111725
27,2444.18,0.35678,0.2447,0.78415,0.9982,0.99825,0.99435,0.92512,0.38729,0.24558,0.78549,7.21189e-05,7.21189e-05,7.21189e-05
28,2506.57,0.34886,0.24075,0.7835,0.99826,0.99821,0.99436,0.92499,0.38639,0.24461,0.78514,4.08546e-05,4.08546e-05,4.08546e-05
29,2567.31,0.34518,0.23972,0.78307,0.9982,0.99819,0.99435,0.9245,0.38873,0.2454,0.78545,1.8275e-05,1.8275e-05,1.8275e-05
30,2628.23,0.34242,0.23899,0.78276,0.99816,0.99829,0.99434,0.92465,0.3877,0.24467,0.78535,4.62751e-06,4.62751e-06,4.62751e-06
