epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.516,1.55188,1.25922,1.08194,0.9582,0.94202,0.98123,0.67281,1.07645,0.61727,0.91499,0.000554622,0.000554622,0.000554622
2,215.216,1.08951,0.6556,0.92639,0.97546,0.96939,0.9841,0.74901,0.88172,0.51878,0.86504,0.00110725,0.00110725,0.00110725
3,612.618,0.96864,0.57927,0.89752,0.98333,0.97699,0.99191,0.79741,0.75188,0.43502,0.83904,0.00164775,0.00164775,0.00164775
4,681.801,0.90331,0.53672,0.88052,0.983,0.9841,0.99293,0.81483,0.71098,0.41425,0.83294,0.00162621,0.00162621,0.00162621
5,757.683,0.85028,0.50474,0.86957,0.98643,0.98276,0.99263,0.82689,0.66422,0.39195,0.82078,0.00159494,0.00159494,0.00159494
6,826.982,0.80451,0.484,0.86039,0.98076,0.98418,0.99316,0.83755,0.62841,0.37598,0.81913,0.00155534,0.00155534,0.00155534
7,1156.9,0.76651,0.46102,0.85388,0.98665,0.98352,0.99344,0.8624,0.56068,0.35243,0.80879,0.00150782,0.00150782,0.00150782
8,1267.87,0.75316,0.4464,0.85093,0.98669,0.98572,0.99346,0.8652,0.55187,0.34683,0.80689,0.00145292,0.00145292,0.00145292
9,1334.56,0.72427,0.43574,0.84487,0.98581,0.9819,0.99353,0.87402,0.52875,0.34102,0.80509,0.00139123,0.00139123,0.00139123
10,1400.62,0.7026,0.42411,0.84169,0.99142,0.98808,0.99283,0.85978,0.56309,0.34108,0.80869,0.00132343,0.00132343,0.00132343
11,1469.17,0.68397,0.41053,0.83943,0.98402,0.98499,0.99369,0.88084,0.51304,0.32224,0.80162,0.00125027,0.00125027,0.00125027
12,1565.97,0.66647,0.4019,0.83621,0.99144,0.9897,0.99427,0.89204,0.46753,0.30589,0.79683,0.00117253,0.00117253,0.00117253
13,1633.32,0.64506,0.38976,0.83219,0.98871,0.98666,0.99392,0.89638,0.45976,0.30369,0.79612,0.00109109,0.00109109,0.00109109
14,1718.19,0.63586,0.38487,0.83101,0.989,0.98785,0.99411,0.89645,0.46308,0.30216,0.79536,0.00100682,0.00100682,0.00100682
15,1792.65,0.62354,0.37818,0.82955,0.99186,0.99228,0.99403,0.90553,0.43641,0.29034,0.79228,0.000920652,0.000920652,0.000920652
16,1860.03,0.60616,0.37073,0.82701,0.98092,0.98088,0.99378,0.90889,0.42125,0.30013,0.79042,0.000833531,0.000833531,0.000833531
17,1941.05,0.59468,0.36318,0.82463,0.99592,0.99513,0.99417,0.91518,0.40428,0.27036,0.78908,0.00074641,0.00074641,0.00074641
18,2013.3,0.57691,0.35317,0.82162,0.98826,0.98382,0.99387,0.91605,0.39977,0.2811,0.78772,0.000660243,0.000660243,0.000660243
19,2080.52,0.56792,0.34708,0.82038,0.99682,0.9967,0.99399,0.92169,0.3823,0.25639,0.78676,0.000575975,0.000575975,0.000575975
20,2424.34,0.55621,0.33966,0.81856,0.99731,0.99614,0.9943,0.91965,0.3961,0.25603,0.78733,0.000494528,0.000494528,0.000494528
21,2490.39,0.4371,0.27488,0.79358,0.99688,0.9966,0.99436,0.92596,0.37608,0.24914,0.7857,0.000416796,0.000416796,0.000416796
22,2542.83,0.40992,0.26221,0.79018,0.99781,0.99792,0.99433,0.92772,0.37345,0.2424,0.78545,0.00034363,0.00034363,0.00034363
23,2595.38,0.3965,0.25473,0.78816,0.99782,0.99767,0.99439,0.93064,0.36839,0.23879,0.78475,0.000275831,0.000275831,0.000275831
24,2647.47,0.37827,0.24726,0.78646,0.9972,0.99726,0.99438,0.93711,0.34714,0.23549,0.78253,0.000214143,0.000214143,0.000214143
25,2699.82,0.37044,0.24354,0.78502,0.99741,0.99717,0.99431,0.93408,0.36111,0.2344,0.78407,0.00015924,0.00015924,0.00015924
26,2752.57,0.35885,0.23846,0.7841,0.99739,0.99792,0.99437,0.9391,0.3451,0.23007,0.78243,0.000111725,0.000111725,0.000111725
27,2805.24,0.3502,0.23447,0.78297,0.99731,0.99706,0.99435,0.93888,0.34726,0.22961,0.78247,7.21189e-05,7.21189e-05,7.21189e-05
28,2857.9,0.34516,0.23203,0.78253,0.9973,0.99694,0.99437,0.94269,0.33476,0.22733,0.78135,4.08546e-05,4.08546e-05,4.08546e-05
29,2910.24,0.3397,0.23062,0.78189,0.99712,0.99708,0.99438,0.94322,0.33411,0.22674,0.78157,1.8275e-05,1.8275e-05,1.8275e-05
30,2962.69,0.33643,0.22937,0.78207,0.99718,0.99702,0.99437,0.94265,0.33522,0.22635,0.78164,4.62751e-06,4.62751e-06,4.62751e-06
